%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0.052799999	4.87757E-07	7.19453E-07	-1.6706E-06	2.64612E-06	1.12902E-07	1.09683E-07	-2.16149E-07	4.41952E-07	0.000821262	0.00035454	-0.000242358	0.001884882	0	0	0	0	-0.002858003	0.002545777	-0.010495335	0.004779328
0.053599999	4.86494E-07	7.03333E-07	-1.6235E-06	2.59649E-06	1.1705E-07	1.22031E-07	-2.49045E-07	4.83144E-07	0.000784408	0.000387911	-0.000379323	0.00194814	0	0	0	0	-0.002847409	0.002562743	-0.010535638	0.004840819
0.054399999	4.9653E-07	7.22729E-07	-1.67166E-06	2.66472E-06	1.34181E-07	1.13985E-07	-2.07773E-07	4.76135E-07	0.000729128	0.000427312	-0.000552809	0.002011064	0	0	0	0	-0.002849428	0.002619717	-0.010708579	0.005009723
0.055199999	4.77364E-07	7.63265E-07	-1.81243E-06	2.76716E-06	1.48273E-07	1.13017E-07	-1.90778E-07	4.87323E-07	0.000673856	0.000454558	-0.000689819	0.00203753	0	0	0	0	-0.002843937	0.002538256	-0.010458705	0.00477083
0.055999999	4.32446E-07	7.47756E-07	-1.81082E-06	2.67571E-06	1.4245E-07	1.18782E-07	-2.13895E-07	4.98795E-07	0.000655443	0.000461001	-0.000727561	0.002038447	0	0	0	0	-0.002800086	0.002628493	-0.010685566	0.005085395
0.056799999	4.45658E-07	7.67737E-07	-1.85755E-06	2.74887E-06	1.23699E-07	1.04384E-07	-1.89453E-07	4.36851E-07	0.000563317	0.000485787	-0.000894044	0.002020678	0	0	0	0	-0.002836965	0.002700585	-0.01093872	0.005264791
0.057599999	4.31762E-07	7.22E-07	-1.73424E-06	2.59776E-06	9.87477E-08	1.14612E-07	-2.45088E-07	4.42583E-07	0.00037906	0.00048317	-0.00107045	0.001828571	0	0	0	0	-0.002975888	0.002692587	-0.011053648	0.005101871
0.058399999	4.28341E-07	7.27875E-07	-1.75528E-06	2.61197E-06	8.01855E-08	1.31249E-07	-3.13561E-07	4.73932E-07	0.000360636	0.000478997	-0.001076355	0.001797627	0	0	0	0	-0.00295842	0.002763766	-0.011249718	0.005332877
0.059199999	3.77334E-07	6.57095E-07	-1.59395E-06	2.34862E-06	6.68489E-08	1.34845E-07	-3.37688E-07	4.71385E-07	0.000305361	0.000460683	-0.001076689	0.001687412	0	0	0	0	-0.002983668	0.002690926	-0.011056445	0.005089109
0.059999998	3.62673E-07	6.49688E-07	-1.58639E-06	2.31174E-06	6.07366E-08	1.33287E-07	-3.39126E-07	4.60599E-07	0.000231662	0.000424521	-0.001041902	0.001505227	0	0	0	0	-0.003031636	0.002631433	-0.010925935	0.004862663
